Dates,Theft,Assault,OIC,Decept,Drugs/Alc,Sex_Offense,Other,Total Crime,Population,CrimeRate,TheftRate,AssaultRate,UnemRate
1/1/01,13291,8648,242,1393,4815,944,8771,38104,2895000,1316.200345,459.1018998,298.7219344,6.4
2/1/01,11279,8069,152,1160,4478,709,7933,33780,2895000,1166.839378,389.6027634,278.7219344,6.4
3/1/01,13147,10482,194,1309,5009,885,9528,40554,2895000,1400.829016,454.1278066,362.0725389,6.7
4/1/01,13093,11071,195,1197,4208,865,9453,40082,2895000,1384.525043,452.2625216,382.417962,6.7
5/1/01,14102,11789,210,1255,4232,884,9349,41821,2895000,1444.594128,487.1157168,407.2193437,6.3
6/1/01,14422,11525,215,1229,4177,811,9346,41725,2895000,1441.278066,498.1692573,398.1001727,7.1
7/1/01,16174,12131,210,1184,4061,958,9975,44693,2895000,1543.799655,558.6873921,419.0328152,6.7
8/1/01,16104,11389,185,1281,4370,882,9821,44032,2895000,1520.967185,556.2694301,393.402418,6.9
9/1/01,15437,10871,172,1184,3798,715,9327,41504,2895000,1433.644214,533.2297064,375.5094991,6.6
10/1/01,16418,10632,141,1284,4140,797,9616,43028,2895000,1486.286701,567.1157168,367.253886,6.9
11/1/01,14360,9492,158,1178,4482,887,9040,39597,2895000,1367.772021,496.0276339,327.8756477,7.3
12/1/01,13439,8730,171,1257,4434,708,8107,36846,2895000,1272.746114,464.2141623,301.5544041,7.5
1/1/02,13066,8962,277,1216,4890,927,9068,38406,2883000,1332.154006,453.2084634,310.8567464,8.8
2/1/02,10861,7836,151,1010,4882,792,8377,33909,2883000,1176.170656,376.725633,271.8002081,8.5
3/1/02,12329,9730,204,1034,4939,802,9547,38585,2883000,1338.362817,427.6448144,337.4956642,8.6
4/1/02,12792,10286,200,1220,4709,935,9893,40035,2883000,1388.657648,443.7044745,356.7811308,8.8
5/1/02,13830,12086,208,1199,4700,929,9961,42913,2883000,1488.484218,479.7086368,419.2160943,8.5
6/1/02,14078,12614,247,1142,4073,865,9816,42835,2883000,1485.778703,488.3107874,437.5303503,9.2
7/1/02,16234,12929,247,1237,4125,1000,10241,46013,2883000,1596.0111,563.0939993,448.456469,9.1
8/1/02,16289,11433,226,1246,4223,909,9884,44210,2883000,1533.472078,565.0017343,396.566077,8.6
9/1/02,15233,11649,207,1129,3767,868,9535,42388,2883000,1470.27402,528.3732223,404.0582726,8.1
10/1/02,15516,10777,219,1153,4233,923,10324,43145,2883000,1496.531391,538.1893861,373.8120014,8.2
11/1/02,13826,8802,204,1036,4167,720,8397,37152,2883000,1288.657648,479.5698925,305.3069719,8.3
12/1/02,13539,8568,191,1097,4495,729,8553,37172,2883000,1289.35137,469.6149844,297.1904266,8.1
1/1/03,12599,8142,303,1160,4866,928,8717,36715,2870000,1279.268293,438.989547,283.6933798,8.7
2/1/03,10565,7670,201,1011,4506,713,7843,32509,2870000,1132.71777,368.1184669,267.2473868,8.3
3/1/03,12696,9846,245,1100,4404,716,9644,38651,2870000,1346.724739,442.369338,343.0662021,8.2
4/1/03,13020,10105,215,1157,4430,765,10097,39789,2870000,1386.376307,453.6585366,352.0905923,8
5/1/03,13558,11103,267,1164,4542,847,9713,41194,2870000,1435.33101,472.4041812,386.8641115,8.2
6/1/03,13739,11172,250,1115,4107,830,9602,40815,2870000,1422.125436,478.7108014,389.2682927,9.3
7/1/03,15945,11257,280,1131,4172,917,9714,43416,2870000,1512.752613,555.5749129,392.2299652,8.8
8/1/03,15925,11075,277,1146,4865,934,10047,44269,2870000,1542.473868,554.8780488,385.8885017,8.6
